Parameter,PRCC_Active,p_Active,PRCC_Recovered,p_Recovered
beta,-0.056264425266923365,0.20913157092280368,0.18072471435858298,4.8129607255799545e-05
beta_f,-0.8445858806363017,3.2814349480463637e-137,-0.9994995770141287,0.0
mu_f,-0.8559243974306973,9.569432167764126e-145,0.8163734615620479,7.99453326901588e-121
I(0),-0.04561398551618066,0.30870799882676286,-0.012911632989414385,0.773344991492095
