country,compartment,rmse_total_enkf,rmse_total_enkpf,pct_rmse_reduction_enkpf_vs_enkf
South Korea,Q,50.8335111677667,52.759511927409356,-3.788840698582165
South Korea,R,177.7990847275585,45.423653116494826,74.45225705964826
Japan,Q,196.29982955162328,201.5166995497647,-2.6576029179737404
Japan,R,755.0503639874679,221.1685280567209,70.70810920628975
Pakistan,Q,403.9444095072761,471.92931789420174,-16.830263468642233
Pakistan,R,2771.6400164871466,571.7792459037947,79.37036402626039
