country,compartment,rmse_hold_enkf,rmse_hold_enkpf,mat_rmse_enkf_last,mat_rmse_enkpf_last,diff_hold_mat_enkf,diff_hold_mat_enkpf
South Korea,Q,99.0814397794081,107.97870294562763,28.735303796477268,13.623093415870152,70.34613598293083,94.35560952975749
South Korea,R,339.0851702804982,88.70532873164706,67.75630264535964,14.907098875987227,271.3288676351385,73.79822985565983
Japan,Q,409.5993385866021,418.90815540436,51.63276046913548,16.730074825180957,357.9665781174666,402.17808057917904
Japan,R,1495.717409012752,465.0888775884958,70.61140651286838,16.764039380157573,1425.1060024998835,448.32483820833824
Pakistan,Q,424.2726992842784,808.480777176954,461.003655591004,257.42010589370614,-36.7309563067256,551.0606712832479
Pakistan,R,4690.925636960979,883.5660535041018,1216.0673977836211,271.5717013828925,3474.858239177358,611.9943521212092
