Parameter,PRCC_Active,p_Active,PRCC_Recovered,p_Recovered
beta,0.31456204635302254,6.030893928464103e-13,0.45340559872899466,1.0145561966839068e-26
beta_f,-0.8997694220159901,1.7553063847481088e-181,-0.9279402713468804,1.3778771591296718e-215
mu_f,0.8875054648360022,1.0779376936094992e-169,0.9057150016126946,9.258974444064413e-188
I(0),0.030339842764654235,0.49848378205190774,0.14519669227016854,0.0011305735139646885
