Parameter,PRCC_Active,p_Active,PRCC_Recovered,p_Recovered
beta,-0.2057938101506992,3.485308893777141e-06,0.4656403061612687,2.8404414331381536e-28
beta_f,0.9467322124472164,3.189535569663286e-247,-0.9504630405749545,7.190847137827348e-255
mu_f,-0.9561912639128817,7.629900383842041e-268,0.9516572310029046,1.9211805669355223e-257
I(0),0.12588371862655673,0.0048170172234516745,-0.12142582375731889,0.0065591809069973205
