Parameter,PRCC_Active,p_Active,PRCC_Recovered,p_Recovered
beta,-0.34792598970437605,1.1279724781759195e-15,0.3958577852476321,3.312239166706236e-20
beta_f,0.8931344725026289,6.320126775669097e-175,-0.8713372111110264,4.288394055892969e-156
mu_f,-0.8593994976352093,3.4764917512380256e-147,0.8480264324447471,1.9721616169552828e-139
I(0),0.04411654784381299,0.3248764452776369,-0.065779903608199,0.14188892811946613
