Parameter,PRCC_Active,p_Active,PRCC_Recovered,p_Recovered
beta,0.45715851033261534,3.440255386469836e-27,0.5513047733954803,4.258381438354808e-41
beta_f,-0.6265398726843372,7.055934448245632e-56,-0.4059348435052707,2.9401795846905454e-21
mu_f,0.4789313211298291,4.941560153137064e-30,0.2145318571222118,1.2882719220975047e-06
I(0),-0.10203903980136937,0.022494625111015003,0.26782282037852595,1.1632648031909754e-09
