Scenario,AverageReduction,Wave1,Wave2,Wave3
Early Intervention,43.2756467899693,15.8809485977126,57.6413214450384,56.3046703271568
Late Intervention,25.6895611966409,6.86928869485349,34.9918487371234,35.2075461579457
No Change,0,0,0,0
