Scenario,AverageReduction,Wave1,Wave2,Wave3
Early Intervention,20.6121822644124,13.5185518195616,37.907662341847,10.4103326318287
Late Intervention,9.91946064372737,5.86028793351598,19.4971253167317,4.40096868093444
No Change,0,0,0,0
