Country,Wave,beta_mean,beta_ci_lower,beta_ci_upper,beta_f_mean,beta_f_ci_lower,beta_f_ci_upper,mu_f_mean,mu_f_ci_lower,mu_f_ci_upper,I0_mean,I0_ci_lower,I0_ci_upper
Japan,1,0.504998531245006,0.48865882037345,0.521884607269988,0.0897069507565573,0.0720249316970122,0.111729880534871,0.127890088671026,0.100752526804336,0.162337117480403,7.35416866478857,5.23657295811965,10.3280899899041
Japan,2,0.831611029310602,0.821853629677065,0.841484272987616,0.201317086736466,0.175678221803097,0.23069774384148,0.270693497349191,0.236536493028984,0.309782936953232,211.319891307976,166.845053360135,267.650107468423
Japan,3,1.66206290545664,1.65520249075496,1.66895175492092,0.00286226343305437,0.00264478177887041,0.00309762870632724,7.38244674647748e-05,7.36529469083681e-06,0.000739963874526028,2025.29680116423,1959.98589644593,2092.78400433594
