Scenario,AverageReduction,Wave1,Wave2,Wave3
Early Intervention,24.5235769757231,6.47812034628208,13.6164562933576,53.4761542875296
Late Intervention,13.2720612106454,2.7435286550799,5.99710251910978,31.0755524577465
No Change,0,0,0,0
