Country,Wave,beta_mean,beta_ci_lower,beta_ci_upper,beta_f_mean,beta_f_ci_lower,beta_f_ci_upper,mu_f_mean,mu_f_ci_lower,mu_f_ci_upper,I0_mean,I0_ci_lower,I0_ci_upper
South Korea,1,0.376630986255589,0.371531180842431,0.381730791668746,0.0559914160375083,0.0536817262314037,0.058301105843613,0.0998961527358641,0.0969112588732926,0.102881046598436,245.627418822408,224.89691407112,266.357923573697
South Korea,2,0.630741871001274,0.594308412344835,0.667175329657714,0.276421039147369,0.225856704985847,0.326985373308891,0.373616544273132,0.315437133029842,0.431795955516423,567.050556731831,449.58322921004,684.517884253623
South Korea,3,1.41324230500318,1.38197836492383,1.44450624508253,0.153119399795104,0.100708653956949,0.205530145633258,0.173501493965377,0.110185607795049,0.236817380135704,516.937522372387,473.335895396093,560.539149348681
