Country,Wave,beta_mean,beta_ci_lower,beta_ci_upper,beta_f_mean,beta_f_ci_lower,beta_f_ci_upper,mu_f_mean,mu_f_ci_lower,mu_f_ci_upper,I0_mean,I0_ci_lower,I0_ci_upper
South Korea,1,0.374725414163916,0.368940099124748,0.380510729203084,0.0542011020190791,0.0519291426249548,0.0564730614132033,0.0971515554547742,0.0942310289628769,0.100072081946671,246.429566621566,221.690836583705,271.168296659427
South Korea,2,0.650523131143711,0.6145727273924,0.686473534895022,0.309369366358089,0.256467479757423,0.362271252958755,0.409998772230835,0.34593873413372,0.474058810327949,507.587130192911,396.2254941117,618.948766274122
South Korea,3,1.41122120432571,1.38223209888121,1.44021030977021,0.164120304030626,0.110355040272203,0.21788556778905,0.18651115873588,0.121780451981258,0.251241865490501,503.293950512409,453.258894415789,553.329006609029
