Country,Wave,beta,beta_f,mu_f,I0
South Korea,1,0.374892799828182,0.0546583858155965,0.0980307817070644,248.15419663849
South Korea,2,0.64994190201747,0.30952426698989,0.410673459758341,503.869065260486
South Korea,3,1.41120542287781,0.163688663220963,0.186023414844534,505.74471849601
